RPM Function ID and Name,RPM Activity ID and Name,Capability ID,"(I)input
(P)process
(O)output",Business Capability Statement,Authoritative Reference,Other Source
RPM.020 Real Property Asset Needs Assessment and Planning,RPM.020.020 Real Property Project Feasibility Analysis,RPM.020.020.131,I,"Capture available funding types, amounts, and sources information ",Capital Programming Guide I.5.3,
RPM.020 Real Property Asset Needs Assessment and Planning,RPM.020.020 Real Property Project Feasibility Analysis,RPM.020.020.132,I,Capture available non-fiscal resources information ,Capital Programming Guide I.5.3,
RPM.020 Real Property Asset Needs Assessment and Planning,RPM.020.020 Real Property Project Feasibility Analysis,RPM.020.020.133,P,Evaluate types and sources of available funding and resources for alternative acquisition approaches and/or sites and record results,Capital Programming Guide I.5.3,
RPM.020 Real Property Asset Needs Assessment and Planning,RPM.020.020 Real Property Project Feasibility Analysis,RPM.020.020.134,O,Provide evaluation results for types and sources of available funding and resources for alternative acquisition approaches and/or sites,Capital Programming Guide I.5.3,
RPM.020 Real Property Asset Needs Assessment and Planning,RPM.020.020 Real Property Project Feasibility Analysis,RPM.020.020.141,P,Evaluate alternative acquisition approaches and/or sites for meeting real property project need against evaluation criteria and supporting information and record results,41 CFR 102-73.255; Capital Programming Guide I.5.1; Capital Programming Guide Appendix 7,GSA Capital Program Project Planning Guide
RPM.020 Real Property Asset Needs Assessment and Planning,RPM.020.020 Real Property Project Feasibility Analysis,RPM.020.020.142,O,Provide evaluation results for alternative acquisition approaches and/or sites for meeting real property project need against evaluation criteria and supporting information,41 CFR 102-73.255; Capital Programming Guide I.5.1; Capital Programming Guide Appendix 7,GSA Capital Program Project Planning Guide
RPM.020 Real Property Asset Needs Assessment and Planning,RPM.020.020 Real Property Project Feasibility Analysis,RPM.020.020.151,P,Determine and document preferred acquisition approach and/or site for meeting real property project need,41 CFR 102-73.255; Capital Programming Guide I.5.1; Capital Programming Guide Appendix 7,GSA Capital Program Project Planning Guide
RPM.020 Real Property Asset Needs Assessment and Planning,RPM.020.020 Real Property Project Feasibility Analysis,RPM.020.020.152,O,Provide preferred acquisition approach and/or site for meeting real property project need,41 CFR 102-73.255; Capital Programming Guide I.5.1; Capital Programming Guide Appendix 7,GSA Capital Program Project Planning Guide
RPM.020 Real Property Asset Needs Assessment and Planning,RPM.020.020 Real Property Project Feasibility Analysis,RPM.020.020.161,I,"Capture impact information (e.g., IT, security, safety, environmental, historic preservation, community, and other impacts) associated with preferred real property project acquisition approach and/or site ","16 U.S.C. 470; 42 U.S.C. 4321 National Environmental Policy Act;
Executive Order 13834: Efficient Federal Operations;
Energy Independence and Security Act of 2007 (EISA 2007);",GSA Capital Program Project Planning Guide
RPM.020 Real Property Asset Needs Assessment and Planning,RPM.020.020 Real Property Project Feasibility Analysis,RPM.020.020.162,P,Evaluate impacts of preferred real property project acquisition approach and/or site and record results,"16 U.S.C. 470; 42 U.S.C. 4321 National Environmental Policy Act;
Executive Order 13834: Efficient Federal Operations;
Energy Independence and Security Act of 2007 (EISA 2007);",GSA Capital Program Project Planning Guide
RPM.020 Real Property Asset Needs Assessment and Planning,RPM.020.020 Real Property Project Feasibility Analysis,RPM.020.020.163,O,Provide evaluation results for impacts of preferred real property project acquisition approach and/or site,"16 U.S.C. 470; 42 U.S.C. 4321 National Environmental Policy Act;
Executive Order 13834: Efficient Federal Operations;
Energy Independence and Security Act of 2007 (EISA 2007);",GSA Capital Program Project Planning Guide
RPM.020 Real Property Asset Needs Assessment and Planning,RPM.020.020 Real Property Project Feasibility Analysis,RPM.020.020.171,P,Develop and document impact mitigation strategies for preferred real property project acquisition approach and/or site ,Capital Programming Guide I.5.1; Capital Programming Guide Appendix 7,GSA Capital Program Project Planning Guide
RPM.020 Real Property Asset Needs Assessment and Planning,RPM.020.020 Real Property Project Feasibility Analysis,RPM.020.020.172,O,Provide impact mitigation strategies for preferred real property project acquisition approach and/or site,Capital Programming Guide I.5.1; Capital Programming Guide Appendix 7,GSA Capital Program Project Planning Guide
RPM.020 Real Property Asset Needs Assessment and Planning,RPM.020.020 Real Property Project Feasibility Analysis,RPM.020.020.181,P,Determine viability of preferred real property project acquisition approach and/or site based on impacts evaluation and document results,"Capital Programming Guide I.5.1; Capital Programming Guide Appendix 7;
Executive Order 13834: Efficient Federal Operations;
Energy Independence and Security Act of 2007 (EISA 2007);",GSA Capital Program Project Planning Guide
RPM.020 Real Property Asset Needs Assessment and Planning,RPM.020.020 Real Property Project Feasibility Analysis,RPM.020.020.182,O,Provide preferred real property project acquisition approach and/or site viability information ,"Capital Programming Guide I.5.1; Capital Programming Guide Appendix 7;
Executive Order 13834: Efficient Federal Operations;
Energy Independence and Security Act of 2007 (EISA 2007);",GSA Capital Program Project Planning Guide
RPM.020 Real Property Asset Needs Assessment and Planning,RPM.020.020 Real Property Project Feasibility Analysis,RPM.020.020.191,P,"Develop real property project feasibility assessment and supporting information, route for review and approval, and document results","Capital Programming Guide I.5.1; Capital Programming Guide Appendix 7;
Executive Order 13834: Efficient Federal Operations;
Energy Independence and Security Act of 2007 (EISA 2007);","GSA Capital Program Project Planning Guide;
Requirements Development;
Guiding Principles for Sustainable Federal Buildings;
Technical Guidance on Implementing the Stormwater Runoff Requirements for Federal Projects under Section 438 of EISA 2007"
RPM.020 Real Property Asset Needs Assessment and Planning,RPM.020.020 Real Property Project Feasibility Analysis,RPM.020.020.192,O,"Provide real property project feasibility assessment, supporting information, and approval information ","Capital Programming Guide I.5.1; Capital Programming Guide Appendix 7;
Executive Order 13834: Efficient Federal Operations;
Energy Independence and Security Act of 2007 (EISA 2007);","GSA Capital Program Project Planning Guide;
Requirements Development;
Guiding Principles for Sustainable Federal Buildings;
Technical Guidance on Implementing the Stormwater Runoff Requirements for Federal Projects under Section 438 of EISA 2007"
RPM.020 Real Property Asset Needs Assessment and Planning,RPM.020.030 Real Property Project Planning,RPM.020.030.011,P,Determine and document swing space relocation needs of existing tenants ,,GSA Capital Program Project Planning Guide
RPM.020 Real Property Asset Needs Assessment and Planning,RPM.020.030 Real Property Project Planning,RPM.020.030.012,O,Provide swing space relocation needs of existing tenants information,,GSA Capital Program Project Planning Guide
RPM.020 Real Property Asset Needs Assessment and Planning,RPM.020.030 Real Property Project Planning,RPM.020.030.021,I,Capture available alternative space information ,,
